Name,Sex,Age,Height,Weight,Team,Sport,Medals Won
Efe Ajagba,M,22,190,,Nigeria,Boxing,0
Egl Balinait,F,27,176,63,Lithuania,Athletics,0
Eglis Yaima Cruz Farfn,F,36,159,63,Cuba,Shooting,0
Eilidh Child-Doyle,F,29,170,60,Great Britain,Athletics,1
Eirini-Marina Alexandri,F,18,171,50,Austria,Synchronized Swimming,0
Ekaterina Ivanova Avramova,F,24,180,68,Turkey,Swimming,0
El Hassan El-Abbassi,M,32,171,61,Bahrain,Athletics,0
Elaheh Ahmadi,F,34,160,62,Iran,Shooting,0
Elas Eliseo Emigdio Abarca,M,25,165,52,Mexico,Boxing,0
Eleanor Bezzina,F,39,154,,Malta,Shooting,0
Elena Berta,F,24,171,58,Italy,Sailing,0
Elena Cecchini,F,24,168,55,Italy,Cycling,0
Elena Daniela Crlan,F,35,164,47,Romania,Athletics,0
Elena Delle Donne,F,26,195,86,United States,Basketball,1
Eleni Artymata,F,30,177,62,Cyprus,Athletics,0
Eleni Doika,F,20,168,49,Greece,Rhythmic Gymnastics,0
Eli Dershwitz,M,20,185,77,United States,Fencing,0
Elinor Jane Barker,F,21,168,56,Great Britain,Cycling,1
Elisa Bozzo,F,29,170,58,Italy,Synchronized Swimming,0
Elisa Di Francisca,F,33,177,65,Italy,Fencing,1
Elisabeth Baldauf,F,26,175,62,Austria,Badminton,0
Elisabeth Chvez Hernndez,F,25,192,81,Spain,Handball,0
"Elissa Rebecca Louis ""Ellie"" Downie",F,17,162,60,Great Britain,Gymnastics,0
Eliza-Iulia Buceschi,F,23,178,70,Romania,Handball,0
Elizabeth Cui,F,18,159,58,New Zealand,Diving,0
"Elizabeth Folake ""Liz"" Cambage",F,24,203,98,Australia,Basketball,0
Elizabeth Lyon Beisel,F,23,168,68,United States,Swimming,0
Elizabeth Mara Bravo iguez,F,29,160,49,Ecuador,Triathlon,0
"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)",F,27,168,55,Great Britain,Cycling,0
Ellie Madison Carpenter,F,16,165,59,Australia,Football,0
Elsa Mara Baquerizo McMillan,F,29,181,68,Spain,Beach Volleyball,0
"Elsabeth ""Ellie"" Black",F,20,155,56,Canada,Gymnastics,0
Elson Viney-Bartel Brechtefeld,M,22,155,56,Nauru,Weightlifting,0
Elyane Eullia Alfama Duarte Freire de Andrade Boal,F,18,170,58,Cape Verde,Rhythmic Gymnastics,0
